TaskID,Project,Task,Priority,Time Estimate,Due Date,Status,Notes
T-001,SFI,Google Request for webinars and such,High,Quick (< 15 min),03/22/2026,Not Started,
T-002,SFI,Cancel Webinar,High,Quick (< 15 min),03/22/2026,Not Started,
T-003,SFI,Gold Ambassadors- morning,High,Short (< 1 hr),03/22/2026,Not Started,
T-004,SFI,Email,High,Short (< 1 hr),03/22/2026,Not Started,
T-005,SFI,All spreadsheets- Count update- links to webinar information,High,Quick (< 15 min),03/22/2026,Not Started,
T-006,SFI,Follow-up with Italy,High,Quick (< 15 min),03/22/2026,Not Started,
T-007,SFI,Connect Emmanuel and Sebulon,High,Quick (< 15 min),03/22/2026,Not Started,
T-008,SFI,Follow-up to Dell,High,Quick (< 15 min),03/22/2026,Not Started,
T-009,SFI,Prep Monday Webinar,High,Medium (1-2 hrs),03/22/2026,Not Started,
T-010,SFI,Check 1:1 document from Jasvir,High,Quick (< 15 min),03/22/2026,Not Started,
T-011,AI innovators,Emails,High,Short (< 1 hr),03/22/2026,Not Started,
T-012,AI innovators,Update Hub and in both locations,High,Quick (< 15 min),03/22/2026,Not Started,
T-013,AI innovators,Check on all holds,High,Short (< 1 hr),03/22/2026,Not Started,
T-014,AI innovators,Plan and document process from here and send out,High,Short (< 1 hr),03/22/2026,Not Started,
T-015,AI innovators,Quick video,High,Medium (1-2 hrs),03/22/2026,Not Started,
T-016,Data Dunkers,IPS prep what we will do and what we will need,High,Long (2-4 hrs),03/22/2026,Not Started,
T-017,Data Dunkers,Course,High,Long (2-4 hrs),03/22/2026,Not Started,
T-018,Data Dunkers,Long term plan,High,Medium (1-2 hrs),03/22/2026,Not Started,
T-019,AIReady,Move all into Asana,High,Short (< 1 hr),03/22/2026,Not Started,
T-020,AIReady,Intel PM boards,High,Quick (< 15 min),03/22/2026,Not Started,
T-021,AIReady,My tracker update,High,Quick (< 15 min),03/22/2026,Not Started,
T-022,AIReady,Commitment form- Send again to all,High,Quick (< 15 min),03/22/2026,Not Started,
T-024,AIReady,Send email about Emmanuel,High,Quick (< 15 min),03/22/2026,Not Started,
T-025,AIReady,Reach out to Intel person about the page,High,Quick (< 15 min),03/22/2026,Not Started,
T-026,AIReady,Respond to emails,High,Short (< 1 hr),03/22/2026,Not Started,
T-027,AIReady,ALL PM documents that need to be created,High,Long (2-4 hrs),03/22/2026,Not Started,
T-028,AIReady,Offerings 3&4,High,Long (2-4 hrs),03/22/2026,Not Started,
T-029,AIReady,TD Synnex follow-up,High,Quick (< 15 min),03/22/2026,Not Started,
T-030,ASCD,Submit form from last engagements,High,Quick (< 15 min),03/22/2026,Not Started,
T-031,ASCD,Follow-ups and scheduling emails,High,Quick (< 15 min),03/22/2026,Not Started,
T-032,ASCD,Brecksville-,High,Quick (< 15 min),03/22/2026,Not Started,
T-033,ASCD,Douglas,High,Quick (< 15 min),03/22/2026,Not Started,
T-034,ASCD,Sioux- quick thank you!,High,Quick (< 15 min),03/22/2026,Not Started,
T-035,ASCD,Middle town,High,Quick (< 15 min),03/22/2026,Not Started,
T-036,Buffalo,Create teacher toolkit,High,Long (2-4 hrs),03/22/2026,Not Started,
T-037,Buffalo,Create plan and document,High,Short (< 1 hr),03/22/2026,Not Started,
T-038,Buffalo,Non-public respond,High,Quick (< 15 min),03/22/2026,Not Started,
T-039,Buffalo,Newsletter,High,Quick (< 15 min),03/22/2026,Not Started,
T-040,Buffalo,April date plan,High,Long (2-4 hrs),03/22/2026,Not Started,
T-041,St Paul,Call family that is behind,High,Quick (< 15 min),03/22/2026,Not Started,
T-042,St Paul,Meeting with Michelle,High,Quick (< 15 min),03/22/2026,Not Started,
T-043,St Paul,course- questions and video and emails from students with plan for each student,High,Medium (1-2 hrs),03/22/2026,Not Started,
T-044,St Paul,Respond to emails,High,Quick (< 15 min),03/22/2026,Not Started,
T-045,St Paul,Set-up time with Michelle,High,Quick (< 15 min),03/22/2026,Not Started,
T-046,St Paul,Check board meeting minutes,High,Quick (< 15 min),03/22/2026,Not Started,
T-047,Transition,Julianna and Kristen and Brianna,High,Quick (< 15 min),03/22/2026,Not Started,
T-048,Transition,Jessica Garner,High,Quick (< 15 min),03/22/2026,Not Started,
T-049,Transition,Block out on Intel Calendar for next week,High,Quick (< 15 min),03/22/2026,Not Started,
T-062,Transition,Identify all issues such as SFI hosting the Documents for Innovators,High,Quick (< 15 min),03/22/2026,Not Started,
T-050,Transition,All emails and be sure all tasks are completed,High,Short (< 1 hr),03/22/2026,Not Started,
T-051,Dell,Hire right package up and send,High,Short (< 1 hr),03/22/2026,Not Started,
T-052,StretchAI,From Dru,High,Long (2-4 hrs),03/22/2026,Not Started,
T-053,StretchAI,landscape,High,Short (< 1 hr),03/22/2026,Not Started,
T-054,AI Use Case,MFNERC- move to document,High,Short (< 1 hr),03/22/2026,Not Started,
T-055,AI Use Case,Other one,High,Quick (< 15 min),03/22/2026,Not Started,
T-056,Home,Micah,High,Long (2-4 hrs),03/22/2026,Not Started,
T-057,Home,Plan Dev Bday,High,Short (< 1 hr),03/22/2026,Not Started,
T-058,Home,Plan Marks Bday,High,Short (< 1 hr),03/22/2026,Not Started,
T-059,Home,Plan Summer,High,Short (< 1 hr),03/22/2026,Not Started,
T-060,Home,Ry Bookshelf,High,Short (< 1 hr),03/22/2026,Not Started,
T-061,Home,Workout,High,Long (2-4 hrs),03/22/2026,Not Started,
T-062,Home,Michelle letter,High,Short (< 1 hr),03/22/2026,Not Started,
T-064,Transition,"Download all files I might want- ISTE, SFI, AI Ready",High,Medium (1-2 hrs),03/23/2026,Not Started,
T-065,AIReady,Update their BIO PPT,High,Quick (< 15 min),03/22/2026,Not Started,
